service_id,date,exception_type
1,20191130,1
1,20191201,1
1,20191207,1
1,20191208,1
1,20191214,1
2,20191128,1
2,20191129,1
2,20191202,1
2,20191203,1
2,20191204,1
2,20191205,1
2,20191206,1
2,20191209,1
2,20191210,1
2,20191211,1
2,20191212,1
2,20191213,1
3,20191128,1
3,20191129,1
3,20191130,1
3,20191201,1
3,20191202,1
3,20191203,1
3,20191204,1
3,20191205,1
3,20191206,1
3,20191207,1
3,20191208,1
3,20191209,1
3,20191210,1
3,20191211,1
3,20191212,1
3,20191213,1
3,20191214,1
4,20191128,1
4,20191201,1
4,20191202,1
4,20191203,1
4,20191204,1
4,20191205,1
4,20191208,1
4,20191209,1
4,20191210,1
4,20191211,1
4,20191212,1
5,20191129,1
5,20191130,1
5,20191206,1
5,20191207,1
5,20191213,1
5,20191214,1
6,20191128,1
6,20191129,1
6,20191130,1
6,20191202,1
6,20191203,1
6,20191204,1
6,20191205,1
6,20191206,1
6,20191207,1
6,20191209,1
6,20191210,1
6,20191211,1
6,20191212,1
6,20191213,1
6,20191214,1
7,20191201,1
7,20191208,1
8,20191216,1
8,20191217,1
8,20191218,1
8,20191219,1
8,20191220,1
8,20191223,1
8,20191227,1
8,20191230,1
8,20200102,1
8,20200103,1
8,20200107,1
8,20200108,1
8,20200109,1
8,20200110,1
8,20200113,1
8,20200114,1
8,20200115,1
8,20200116,1
8,20200117,1
8,20200120,1
8,20200121,1
8,20200122,1
8,20200123,1
8,20200124,1
8,20200127,1
8,20200128,1
8,20200129,1
8,20200130,1
8,20200131,1
8,20200203,1
8,20200204,1
8,20200205,1
8,20200206,1
8,20200207,1
8,20200210,1
8,20200211,1
8,20200212,1
8,20200213,1
8,20200214,1
8,20200217,1
8,20200218,1
8,20200219,1
8,20200220,1
8,20200221,1
8,20200224,1
8,20200225,1
8,20200226,1
8,20200227,1
8,20200228,1
8,20200302,1
8,20200303,1
8,20200304,1
8,20200305,1
8,20200306,1
8,20200309,1
8,20200310,1
8,20200311,1
8,20200312,1
8,20200313,1
8,20200316,1
8,20200317,1
8,20200318,1
8,20200319,1
8,20200320,1
8,20200323,1
8,20200324,1
8,20200325,1
8,20200326,1
8,20200327,1
8,20200330,1
8,20200331,1
8,20200401,1
8,20200402,1
8,20200403,1
8,20200406,1
8,20200407,1
8,20200408,1
8,20200409,1
8,20200410,1
8,20200413,1
8,20200414,1
8,20200415,1
8,20200416,1
8,20200417,1
8,20200420,1
8,20200421,1
8,20200422,1
8,20200423,1
8,20200424,1
8,20200427,1
8,20200428,1
8,20200429,1
8,20200430,1
8,20200501,1
8,20200504,1
8,20200505,1
8,20200506,1
8,20200507,1
8,20200508,1
8,20200511,1
8,20200512,1
8,20200513,1
8,20200514,1
8,20200515,1
8,20200518,1
8,20200519,1
8,20200520,1
8,20200521,1
8,20200522,1
8,20200525,1
8,20200526,1
8,20200527,1
8,20200528,1
8,20200529,1
8,20200601,1
8,20200602,1
8,20200603,1
8,20200604,1
8,20200605,1
8,20200608,1
8,20200609,1
8,20200610,1
8,20200611,1
8,20200612,1
9,20191215,1
9,20191221,1
9,20191222,1
9,20191224,1
9,20191225,1
9,20191226,1
9,20191228,1
9,20191229,1
9,20191231,1
9,20200101,1
9,20200104,1
9,20200105,1
9,20200106,1
9,20200111,1
9,20200112,1
9,20200118,1
9,20200119,1
9,20200125,1
9,20200126,1
9,20200201,1
9,20200202,1
9,20200208,1
9,20200209,1
9,20200215,1
9,20200216,1
9,20200222,1
9,20200223,1
9,20200229,1
9,20200301,1
9,20200307,1
9,20200308,1
9,20200314,1
9,20200315,1
9,20200321,1
9,20200322,1
9,20200328,1
9,20200329,1
9,20200404,1
9,20200405,1
9,20200411,1
9,20200412,1
9,20200418,1
9,20200419,1
9,20200425,1
9,20200426,1
9,20200502,1
9,20200503,1
9,20200509,1
9,20200510,1
9,20200516,1
9,20200517,1
9,20200523,1
9,20200524,1
9,20200530,1
9,20200531,1
9,20200606,1
9,20200607,1
9,20200613,1
9,20200614,1
10,20191130,1
10,20191207,1
10,20191214,1
11,20191129,1
11,20191206,1
11,20191213,1
12,20191220,1
12,20191227,1
12,20200103,1
12,20200110,1
12,20200117,1
12,20200124,1
12,20200131,1
12,20200207,1
12,20200214,1
12,20200221,1
12,20200228,1
12,20200306,1
12,20200313,1
12,20200320,1
12,20200327,1
12,20200403,1
12,20200409,1
12,20200410,1
12,20200413,1
12,20200417,1
12,20200424,1
12,20200429,1
12,20200430,1
12,20200501,1
12,20200508,1
12,20200515,1
12,20200520,1
12,20200521,1
12,20200522,1
12,20200529,1
12,20200605,1
12,20200612,1
13,20191221,1
13,20191225,1
13,20191228,1
13,20191231,1
13,20200104,1
13,20200105,1
13,20200111,1
13,20200118,1
13,20200125,1
13,20200201,1
13,20200208,1
13,20200215,1
13,20200222,1
13,20200229,1
13,20200307,1
13,20200314,1
13,20200321,1
13,20200328,1
13,20200404,1
13,20200411,1
13,20200412,1
13,20200418,1
13,20200425,1
13,20200502,1
13,20200509,1
13,20200516,1
13,20200523,1
13,20200530,1
13,20200606,1
13,20200613,1
14,20191128,1
14,20191129,1
14,20191202,1
14,20191203,1
14,20191204,1
14,20191205,1
14,20191206,1
14,20191209,1
14,20191210,1
14,20191211,1
14,20191212,1
14,20191213,1
14,20191216,1
14,20191217,1
14,20191218,1
14,20191219,1
14,20191220,1
14,20191223,1
14,20191227,1
14,20191230,1
14,20200102,1
14,20200103,1
14,20200107,1
14,20200108,1
14,20200109,1
14,20200110,1
14,20200113,1
14,20200114,1
14,20200115,1
14,20200116,1
14,20200117,1
14,20200120,1
14,20200121,1
14,20200122,1
14,20200123,1
14,20200124,1
14,20200127,1
14,20200128,1
14,20200129,1
14,20200130,1
14,20200131,1
14,20200203,1
14,20200204,1
14,20200205,1
14,20200206,1
14,20200207,1
14,20200210,1
14,20200211,1
14,20200212,1
14,20200213,1
14,20200214,1
14,20200217,1
14,20200218,1
14,20200219,1
14,20200220,1
14,20200221,1
14,20200224,1
14,20200225,1
14,20200226,1
14,20200227,1
14,20200228,1
14,20200302,1
14,20200303,1
14,20200304,1
14,20200305,1
14,20200306,1
14,20200309,1
14,20200310,1
14,20200311,1
14,20200312,1
14,20200313,1
14,20200316,1
14,20200317,1
14,20200318,1
14,20200319,1
14,20200320,1
14,20200323,1
14,20200324,1
14,20200325,1
14,20200326,1
14,20200327,1
14,20200330,1
14,20200331,1
14,20200401,1
14,20200402,1
14,20200403,1
14,20200406,1
14,20200407,1
14,20200408,1
14,20200409,1
14,20200410,1
14,20200413,1
14,20200414,1
14,20200415,1
14,20200416,1
14,20200417,1
14,20200420,1
14,20200421,1
14,20200422,1
14,20200423,1
14,20200424,1
14,20200427,1
14,20200428,1
14,20200429,1
14,20200430,1
14,20200501,1
14,20200504,1
14,20200505,1
14,20200506,1
14,20200507,1
14,20200508,1
14,20200511,1
14,20200512,1
14,20200513,1
14,20200514,1
14,20200515,1
14,20200518,1
14,20200519,1
14,20200520,1
14,20200521,1
14,20200522,1
14,20200525,1
14,20200526,1
14,20200527,1
14,20200528,1
14,20200529,1
14,20200601,1
14,20200602,1
14,20200603,1
14,20200604,1
14,20200605,1
14,20200608,1
14,20200609,1
14,20200610,1
14,20200611,1
14,20200612,1
15,20191215,1
15,20191216,1
15,20191217,1
15,20191218,1
15,20191219,1
15,20191220,1
15,20191221,1
15,20191222,1
15,20191223,1
15,20191224,1
15,20191225,1
15,20191226,1
15,20191227,1
15,20191228,1
15,20191229,1
15,20191230,1
15,20191231,1
15,20200101,1
15,20200102,1
15,20200103,1
15,20200104,1
15,20200105,1
15,20200106,1
15,20200107,1
15,20200108,1
15,20200109,1
15,20200110,1
15,20200111,1
15,20200112,1
15,20200113,1
15,20200114,1
15,20200115,1
15,20200116,1
15,20200117,1
15,20200118,1
15,20200119,1
15,20200120,1
15,20200121,1
15,20200122,1
15,20200123,1
15,20200124,1
15,20200125,1
15,20200126,1
15,20200127,1
15,20200128,1
15,20200129,1
15,20200130,1
15,20200131,1
15,20200201,1
15,20200202,1
15,20200203,1
15,20200204,1
15,20200205,1
15,20200206,1
15,20200207,1
15,20200208,1
15,20200209,1
15,20200210,1
15,20200211,1
15,20200212,1
15,20200213,1
15,20200214,1
15,20200215,1
15,20200216,1
15,20200217,1
15,20200218,1
15,20200219,1
15,20200220,1
15,20200221,1
15,20200222,1
